time,veh_u,veh_v,model_GRU_lon_2080.pt
0.98,0.0,0.0,0.01867043972015381
0.99,0.0,0.0,0.019448891282081604
1.0,0.0,0.0,0.02000899240374565
1.01,0.0,0.0,0.02032736875116825
1.02,0.0,0.0,0.0204068161547184
1.03,0.0,0.0,0.02029583230614662
1.04,0.0,0.0,0.019995659589767456
1.05,0.0,0.00124,0.01954028755426407
1.06,0.0,0.00155,0.01897237077355385
1.07,0.0,0.00182,0.018254416063427925
1.08,0.0,0.00206,0.01741630956530571
1.09,0.0,0.00226,0.01644246093928814
1.1,0.0,0.00241,0.015383956953883171
1.11,0.0,0.00253,0.014302736148238182
1.12,0.0,0.0026,0.013342022895812988
1.13,0.0,0.00263,0.012489784508943558
1.14,0.0,0.00263,0.011961013078689575
1.15,0.0,0.00259,0.012116987258195877
1.16,0.0,0.00249,0.013963103294372559
1.17,0.0,0.00237,0.017664097249507904
1.18,0.0,0.00223,0.022838372737169266
1.19,0.0,0.00205,0.028821006417274475
1.2,0.0,0.00185,0.034900397062301636
1.21,0.0,0.00163,0.04042168706655502
1.22,0.0,0.00139,0.04491617903113365
1.23,0.0,0.00115,0.048191823065280914
1.24,0.0,0.0,0.05021645873785019
1.25,0.0,0.0,0.05106581375002861
1.26,0.0,0.0,0.050912242382764816
1.27,0.0,0.0,0.04996408522129059
1.28,0.0,0.0,0.048461657017469406
1.29,0.0,0.0,0.04672584682703018
1.3,0.0,0.0,0.04521835222840309
1.31,0.0,0.0,0.04421516880393028
1.32,0.0,0.0,0.043810032308101654
1.33,0.0,0.0,0.04388654977083206
1.34,0.0,0.0,0.0444420725107193
1.35,0.0,0.0,0.04532904550433159
1.36,0.0,0.0,0.04632819443941116
1.37,0.0,0.0,0.04734603315591812
1.38,0.0,0.0,0.048343054950237274
1.39,0.0,0.0,0.04948233813047409
1.4,0.0,0.0,0.05079473927617073
1.41,0.0,0.0,0.0522729828953743
1.42,0.0,0.0,0.053867749869823456
1.43,0.0,0.0,0.05557183921337128
1.44,0.0,0.0,0.05747514218091965
1.45,0.0,0.0,0.05950301140546799
1.46,0.0,0.0,0.061356134712696075
1.47,0.0,0.0,0.0627824068069458
1.48,0.0,0.00119,0.06368082761764526
1.49,0.0,0.00148,0.06405355781316757
1.5,0.0,0.00176,0.06408734619617462
