time,veh_u,veh_v,best_wheel,model_based,ekf_m_bw,veh_ref,ekf_ai
1.57 sec,0.00056,0,0,-0.48847185041206,1.03573226384324e-12,0,-0.0097190210973025
1.58 sec,0.00069,0,0,-0.493851389567835,-1.08687364663851e-12,0,-0.00962532250882129
1.59 sec,0.00081,0,0,-0.488465833220919,1.03923813998819e-12,0,-0.0097955414329285
1.6 sec,0.00094,0,0,-0.49386018059509,-1.09037778805998e-12,0,-0.0100471986139682
1.61 sec,0.00106,0,0,-0.488457171699132,1.04274228140966e-12,0,-0.0102335541225025
1.62 sec,0.00117,0,0,-0.493869207099601,-1.09271446058212e-12,0,-0.00992759448805342
1.63 sec,0.00126,0,0,-0.488451036353006,1.04391148503247e-12,0,-0.0101436068905681
1.64 sec,0.00136,0,0,-0.493872728334288,-1.0962186020036e-12,0,-0.0100347998626739
1.65 sec,0.00145,0,0,-0.488442938810993,1.04858656480022e-12,0,-0.0101013603013119
1.66 sec,0.00153,0,0,-0.493884401373889,-1.09972447814854e-12,0,-0.00999346318470974
1.67 sec,0.00162,0,0,-0.488434003571872,1.05209244094517e-12,0,-0.0100861355999909
1.68 sec,0.00167,0,0,-0.493893458815533,-1.10206115067069e-12,0,-0.0100397909083241
1.69 sec,0.00172,0,0,-0.488427806311183,1.05209244094517e-12,0,-0.0100180370769797
1.7 sec,0.00176,0,0,-0.493894153240511,-1.10206115067069e-12,0,-0.00998193090811428
1.71 sec,0.00178,0,0,-0.488427741684899,1.05209244094517e-12,0,-0.0101061327030614
1.72 sec,0.0018,0,0,-0.493894159430377,-1.10206115067069e-12,0,-0.010078750518332
1.73 sec,0.00181,0,0,-0.488427741351235,1.05209244094517e-12,0,-0.00988907451341459
1.74 sec,0.00181,0,-0.00170084,-0.493894159350341,-0.00170084000093198,0,-0.00948619368673441
1.75 sec,0.00181,0,0,-0.488427741385742,1.31002153569426e-12,0,-0.0101029150215729
1.76 sec,0.0018,0,0,-0.493894159334534,-1.10207849790545e-12,0,-0.010663935602571
1.77 sec,0.00179,0,0,-0.488427741389964,1.05209937983908e-12,0,-0.0123002741496594
1.78 sec,0.00178,0,0,-0.493894159332859,-1.10206115067069e-12,0,-0.0140865040491088
1.79 sec,0.00178,0,-0.00170926,-0.488427741390398,-0.00170925999877698,0,-0.0149934819254118
