time,veh_u,veh_v,model_T_lon_1560.pt
2.03,0.04135,0.0,-0.07303181290626526
2.04,0.04491,0.0,-0.07291582226753235
2.05,0.04803,0.0,-0.07279819250106812
2.06,0.05128,0.0,-0.0725938081741333
2.07,0.05466,0.0,-0.07249286770820618
2.08,0.05819,0.0,-0.07248795032501221
2.09,0.06186,0.0,-0.07232797145843506
2.1,0.06569,0.0,-0.07213705778121948
2.11,0.06966,0.0,-0.07205840945243835
2.12,0.07378,0.0,-0.0719931423664093
2.13,0.07807,0.0,-0.07183831930160522
2.14,0.08251,0.00125,-0.07169759273529053
2.15,0.08711,0.00202,-0.07169100642204285
2.16,0.09188,0.0028,-0.07147228717803955
2.17,0.0968,0.00356,-0.07131290435791016
2.18,0.10189,0.00431,-0.07104438543319702
2.19,0.10715,0.00502,-0.07098186016082764
2.2,0.11256,0.0057,-0.07075411081314087
2.21,0.11813,0.00634,-0.07046270370483398
2.22,0.12386,0.00692,-0.07030481100082397
2.23,0.12974,0.00744,-0.070180743932724
2.24,0.13578,0.00789,-0.06990650296211243
2.25,0.14196,0.00827,-0.06960737705230713
2.26,0.14701,0.00852,-0.06931060552597046
2.27,0.15475,0.00879,-0.06915485858917236
2.28,0.16002,0.0089,-0.06499701738357544
2.29,0.16807,0.00896,-0.06085723638534546
2.3,0.17353,0.00892,-0.05629497766494751
2.31,0.18187,0.00876,-0.052256882190704346
2.32,0.18893,0.00852,-0.04476979374885559
2.33,0.1961,0.00819,-0.03759503364562988
2.34,0.20335,0.00777,-0.0300368070602417
2.35,0.2107,0.00726,-0.022686421871185303
2.36,0.21812,0.00667,-0.01528555154800415
2.37,0.22561,0.006,-0.008601605892181396
2.38,0.23316,0.00526,-0.0018651783466339111
2.39,0.24077,0.00446,0.005126476287841797
2.4,0.24843,0.0036,0.011516451835632324
2.41,0.25613,0.00269,0.023323476314544678
2.42,0.26386,0.00174,0.03114524483680725
2.43,0.27163,0.0,0.0391116589307785
2.44,0.27941,0.0,0.047082677483558655
2.45,0.28721,0.0,0.05460911989212036
2.46,0.29501,0.0,0.06197682023048401
2.47,0.30281,0.0,0.06932556629180908
2.48,0.31062,0.0,0.07692830264568329
2.49,0.31841,0.0,0.086022287607193
2.5,0.32619,0.0,0.09374631941318512
2.51,0.33241,0.0,0.10121488571166992
2.52,0.3417,0.0,0.10804024338722229
2.53,0.34787,0.0,0.11499793827533722
2.54,0.35709,0.0,0.12135624885559082
2.55,0.36322,0.0,0.1282644271850586
2.56,0.37236,0.0,0.13615553081035614
2.57,0.37994,0.0,0.1445964276790619
2.58,0.38748,0.0,0.152816504240036
2.59,0.39498,0.0,0.16029243171215057
2.6,0.40242,0.0,0.16759923100471497
2.61,0.40983,0.0,0.17524103820323944
2.62,0.41719,0.0,0.1833065003156662
2.63,0.42451,0.0,0.19037333130836487
2.64,0.43178,0.0,0.19729813933372498
2.65,0.43901,0.0,0.20458364486694336
2.66,0.44619,0.0,0.21155767142772675
