time,veh_u,veh_v,model_LSTM_lon_2139.pt
9.77,15.56088,0.0,15.492197036743164
9.78,15.63118,0.0,15.562146186828613
9.79,15.68751,0.0,15.633000373840332
9.8,15.77168,0.0,15.702910423278809
9.81,15.8419,0.0,15.77427864074707
9.82,15.91212,0.0,15.847742080688477
9.83,15.98236,0.0,15.920971870422363
9.84,16.05262,0.0,15.99345874786377
9.85,16.12292,0.0,16.06467056274414
9.86,16.19325,0.0,16.13603973388672
9.87,16.24968,0.0,16.20746421813965
9.88,16.33409,0.0,16.279529571533203
9.89,16.40474,0.0,16.350996017456055
9.9,16.47522,0.0,16.42317008972168
9.91,16.54589,0.0,16.49393081665039
9.92,16.61666,0.0,16.565773010253906
9.93,16.68752,0.0,16.637649536132812
9.94,16.75849,0.0,16.7102108001709
9.95,16.81545,0.0,16.782869338989258
9.96,16.90072,0.0,16.856054306030273
9.97,16.97201,0.0,16.92879867553711
9.98,17.0434,0.0,17.000831604003906
9.99,17.11492,0.0,17.07276153564453
10.0,17.18652,0.0,17.14520835876465
10.01,17.25825,0.0,17.217288970947266
10.02,17.33009,0.0,17.290061950683594
10.03,17.40202,0.0,17.363393783569336
10.04,17.45978,0.0,17.436840057373047
10.05,17.5462,0.0,17.509536743164062
10.06,17.61844,0.0,17.581707000732422
10.07,17.69076,0.0,17.653783798217773
10.08,17.76315,0.0,17.725730895996094
10.09,17.83564,0.0,17.79741859436035
10.1,17.90815,0.0,17.870677947998047
10.11,17.98074,0.0,17.94315528869629
10.12,18.03895,0.0,18.015132904052734
10.13,18.12601,0.0,18.088703155517578
10.14,18.1987,0.0,18.16054344177246
10.15,18.27139,0.0,18.231679916381836
10.16,18.34407,0.0,18.303815841674805
10.17,18.41673,0.0,18.37693214416504
10.18,18.48941,0.0,18.449445724487305
10.19,18.56195,0.0,18.522340774536133
10.2,18.62011,0.0,18.595857620239258
10.21,18.7069,0.0,18.669145584106445
10.22,18.77924,0.0,18.744163513183594
10.23,18.85147,0.0,18.81745147705078
10.24,18.92357,0.0,18.890758514404297
10.25,18.99551,0.0,18.963529586791992
10.26,19.06729,0.0,19.03543472290039
10.27,19.13888,0.0,19.107973098754883
10.28,19.21028,0.0,19.181690216064453
10.29,19.26739,0.0,19.25511360168457
10.3,19.35238,0.0,19.32918357849121
10.31,19.42306,0.0,19.40382957458496
10.32,19.49348,0.0,19.479141235351562
10.33,19.56361,0.0,19.55402374267578
10.34,19.63346,0.0,19.628334045410156
10.35,19.703,0.0,19.70159339904785
10.36,19.77223,0.0,19.77416229248047
10.37,19.82749,0.0,19.84560203552246
10.38,19.90968,0.0,19.916303634643555
10.39,19.97791,0.0,19.986967086791992
10.4,20.04584,0.0,20.05708885192871
10.41,20.11333,0.0,20.127117156982422
10.42,20.18051,0.0,20.196462631225586
10.43,20.24734,0.0,20.266300201416016
10.44,20.31383,0.0,20.334800720214844
10.45,20.3669,0.0,20.40229606628418
10.46,20.44578,0.0,20.467626571655273
10.47,20.51126,0.0,20.532121658325195
10.48,20.57641,0.0,20.596548080444336
10.49,20.64125,0.0,20.66128921508789
10.5,20.70579,0.0,20.726533889770508
10.51,20.77006,0.0,20.79258918762207
10.52,20.83403,0.0,20.861125946044922
10.53,20.89775,0.0,20.92778205871582
10.54,20.94865,0.0,20.992528915405273
10.55,21.02445,0.0,21.055767059326172
10.56,21.08748,0.0,21.118743896484375
10.57,21.1503,0.0,21.183319091796875
10.58,21.21292,0.0,21.2481746673584
10.59,21.27539,0.0,21.315080642700195
10.6,21.33769,0.0,21.38219451904297
10.61,21.39985,0.0,21.442773818969727
10.62,21.44961,0.0,21.501361846923828
10.63,21.52378,0.0,21.557418823242188
10.64,21.58558,0.0,21.614946365356445
10.65,21.64728,0.0,21.673250198364258
10.66,21.70889,0.0,21.73593521118164
10.67,21.77041,0.0,21.798341751098633
10.68,21.83185,0.0,21.862154006958008
10.69,21.89321,0.0,21.923593521118164
10.7,21.94238,0.0,21.983314514160156
10.71,22.01572,0.0,22.040719985961914
10.72,22.07687,0.0,22.09786033630371
10.73,22.13794,0.0,22.154788970947266
10.74,22.19894,0.0,22.212890625
10.75,22.25984,0.0,22.272214889526367
10.76,22.32068,0.0,22.331422805786133
10.77,22.38142,0.0,22.390378952026367
10.78,22.44207,0.0,22.449241638183594
