ID;model_type;sequence_length;kernel_size;dilation_schedule;num_residual_blocks;channels_per_layer;convolutions_per_block;dropout;input_dim;head_pooling;use_weight_norm;activation;norm_in_block;output_clamp_min;optimizer;learning_rate;weight_decay;loss;grad_clip;batch_size;seed
440;TCN;130;4;1,2,4,8,16;5;64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
441;TCN;130;4;1,2,4,8,16;5;64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
442;TCN;130;4;1,2,4,8,16;6;64,64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
443;TCN;130;4;1,2,4,8,16;6;64,64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
444;TCN;130;4;1,2,4,8,16;7;64,64,64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
445;TCN;130;4;1,2,4,8,16;7;64,64,64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
446;TCN;130;5;1,2,4,8,16,32;5;64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
447;TCN;130;5;1,2,4,8,16,32;5;64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
448;TCN;130;5;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
449;TCN;130;5;1,2,4,8,16,32;6;64,64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
450;TCN;130;5;1,2,4,8,16,32;7;64,64,64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
451;TCN;130;5;1,2,4,8,16,32;7;64,64,64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
452;TCN;140;4;1,2,4,8,16;5;64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
