time,veh_u,model_RNN_lon_2020.pt,model_LSTM_lon_2139.pt,model_GRU_lon_2080.pt,model_TCN_lon_129.pt,model_T_lon_1560.pt,best_wheel,model_based,ekf_m_bw,veh_ref,ekf_ai
7.51,1.65616,1.6280263662338257,1.566532850265503,1.6263362169265747,1.588778018951416,1.3141683340072632,1.61945799,1.62702590908327,1.61945799000104,1.64198,1.58877872754287
7.52,1.65442,1.6270681619644165,1.5662825107574463,1.6252052783966064,1.588395595550537,1.3142621517181396,1.62110337,1.62683130777074,1.62110337000099,1.64278,1.58839632240862
7.53,1.6511,1.6267743110656738,1.566016674041748,1.624238133430481,1.5891344547271729,1.3146352767944336,1.61945799,1.62693724584438,1.61945799000106,1.64382,1.58913529578006
7.54,1.64769,1.6268881559371948,1.5659011602401733,1.6237119436264038,1.5901545286178589,1.3150807619094849,1.62110337,1.62917850935296,1.62110337000122,1.64451,1.59015549761886
7.55,1.64372,1.6276285648345947,1.5659480094909668,1.6234972476959229,1.5920729637145996,1.315224051475525,1.62507969,1.63208767414638,1.62507969000115,1.64488,1.59207383032608
7.56,1.64015,1.6285456418991089,1.566051959991455,1.6235133409500122,1.5924623012542725,1.3147516250610352,1.62675,1.63050585009413,1.62675000000076,1.64395,1.59246303284311
7.57,1.6342,1.6298013925552368,1.5662107467651367,1.6237506866455078,1.593658685684204,1.3141233921051025,1.632400245,1.63342978477688,1.63240024500031,1.64188,1.59365930484416
7.58,1.62874,1.6302767992019653,1.5663318634033203,1.6239559650421143,1.5918375253677368,1.3137630224227905,1.62675,1.62978164973912,1.62675000000036,1.64153,1.59183777657923
7.59,1.62291,1.6309252977371216,1.566436529159546,1.624068021774292,1.5908520221710205,1.3135918378829956,1.62675,1.63175832107449,1.62675000000067,1.64139,1.5908528905332
7.6,1.61801,1.6313996315002441,1.5664948225021362,1.624198079109192,1.5900075435638428,1.3133305311203003,1.62675,1.63068419670999,1.62675000000067,1.64205,1.59000818807059
7.61,1.61042,1.6319258213043213,1.5665206909179688,1.6244103908538818,1.5907657146453857,1.313441514968872,1.62675,1.62920223378702,1.62675000000046,1.64405,1.59076633565513
7.62,1.60397,1.6327141523361206,1.5666931867599487,1.6248772144317627,1.592860221862793,1.3144375085830688,1.632400245,1.63414214283654,1.63240024500031,1.64537,1.59286097876336
7.63,1.59752,1.633484959602356,1.5669915676116943,1.6255863904953003,1.5940994024276733,1.314759373664856,1.632400245,1.63351948120907,1.63240024500021,1.64664,1.59410003584758
7.64,1.59245,1.6344423294067383,1.567378044128418,1.6264406442642212,1.5950617790222168,1.3148528337478638,1.632400245,1.63591637378465,1.63240024500041,1.64783,1.59506265467777
7.65,1.58519,1.635444164276123,1.567802906036377,1.6273976564407349,1.5957279205322266,1.3148835897445679,1.632400245,1.63668163186159,1.63240024500062,1.64906,1.59572808944543
7.66,1.57958,1.6364233493804932,1.568291187286377,1.628462791442871,1.594810962677002,1.3155620098114014,1.638046875,1.64083816958608,1.63804687500051,1.64882,1.59481154112519
7.67,1.57456,1.6373356580734253,1.5688114166259766,1.6295697689056396,1.593934416770935,1.3160536289215088,1.638046875,1.63860978527858,1.63804687500021,1.64825,1.59393524809993
7.68,1.5703,1.638407588005066,1.56942880153656,1.6306674480438232,1.5930306911468506,1.3172558546066284,1.638046875,1.63774574960751,1.638046875,1.64667,1.59303127743047
7.69,1.56696,1.6396106481552124,1.570007562637329,1.6318305730819702,1.5929758548736572,1.3173961639404297,1.632400245,1.63409874584608,1.63240024500015,1.64532,1.59297616666972
7.7,1.56472,1.640727162361145,1.5704755783081055,1.6330684423446655,1.5940862894058228,1.3179866075515747,1.632400245,1.63605996963934,1.63240024500046,1.64609,1.59408706727103
7.71,1.56377,1.641380786895752,1.5709086656570435,1.6341257095336914,1.5958728790283203,1.3187447786331177,1.632400245,1.63500206233237,1.63240024500046,1.64757,1.59587363213158
7.72,1.56429,1.6419577598571777,1.5714287757873535,1.63491952419281,1.597235918045044,1.3198325634002686,1.632400245,1.63991881839243,1.63240024500089,1.64929,1.59723657180909
7.73,1.56646,1.6420069932937622,1.5719448328018188,1.635352373123169,1.5971455574035645,1.3197150230407715,1.632400245,1.63499428108864,1.63240024500066,1.65087,1.59714606102623
7.74,1.57048,1.6416736841201782,1.572359561920166,1.6355104446411133,1.5962873697280884,1.319754958152771,1.632400245,1.6376339377701,1.63240024500066,1.65166,1.59628788247938
7.75,1.5765,1.6414293050765991,1.5725963115692139,1.635533094406128,1.5952677726745605,1.319749116897583,1.632400245,1.63621333178666,1.63240024500066,1.6523,1.59526830090902
7.76,1.58472,1.641245722770691,1.5727442502975464,1.6355012655258179,1.5952073335647583,1.3205114603042603,1.630721625,1.63697607284347,1.63072162500083,1.65295,1.59520774948545
7.77,1.59299,1.6413365602493286,1.5729050636291504,1.6355078220367432,1.59584641456604,1.3213962316513062,1.632317145,1.63656609501433,1.63231714500076,1.65352,1.59584730130625
7.78,1.60836,1.6413006782531738,1.5731890201568604,1.635454773902893,1.5976324081420898,1.3223202228546143,1.638046875,1.6388433082439,1.63804687500031,1.65469,1.59763281733125
7.79,1.62408,1.6417275667190552,1.5735608339309692,1.6355528831481934,1.5988624095916748,1.3223968744277954,1.638046875,1.63762044370191,1.638046875,1.65638,1.59886291467445
7.8,1.64259,1.6433061361312866,1.5742809772491455,1.6360690593719482,1.6023120880126953,1.3246779441833496,1.637962675,1.64490030963345,1.63796267500067,1.66145,1.60231249968852
7.81,1.65951,1.6488529443740845,1.5758663415908813,1.6378707885742188,1.6093864440917969,1.3293037414550781,1.64934375,1.65784015295102,1.64934375000123,1.66972,1.60938705584515
7.82,1.6884,1.665343165397644,1.5801186561584473,1.6438236236572266,1.6301515102386475,1.3421238660812378,1.683234375,1.71488541267503,1.68323437500364,1.71098,1.63015264785224
7.83,1.71589,1.7012596130371094,1.5895171165466309,1.6593871116638184,1.6628023386001587,1.3678994178771973,1.71542145,1.78559453996741,1.71542145000872,1.77171,1.66280394479782
7.84,1.74653,1.7684763669967651,1.6082535982131958,1.692429542541504,1.7098004817962646,1.413613200187683,1.8243474,1.96201898786564,1.82434740001777,1.83155,1.7098036454136
7.85,1.77339,1.8878644704818726,1.6428827047348022,1.7525769472122192,1.794235110282898,1.4876115322113037,2.00345202000002,2.17464992160333,2.00345202002397,1.88346000000001,1.7942404180425
7.86,1.81741,2.0631532669067383,1.69856858253479,1.845872402191162,1.9137659072875977,1.5786532163619995,2.223631245,2.39236971053198,2.22363124502312,1.96012,1.91377268615226
7.87,1.85768,2.2951786518096924,1.7798465490341187,1.974233627319336,2.0464391708374023,1.6910301446914673,2.604238965,2.65390577758663,2.60423896500917,2.03462,2.04644740710135
7.88,1.90116,2.5616252422332764,1.8915640115737915,2.1262123584747314,2.1844234466552734,1.8515517711639404,2.61724353,2.68788122988218,2.61724353000696,2.17971,2.18442997833646
7.89,1.93834,2.805824041366577,2.0170984268188477,2.2853775024414062,2.1722609996795654,1.9369996786117554,2.35891951499999,2.5097406479896,2.35891951501432,2.28033,2.17226496725655
7.9,1.99759,2.954936981201172,2.137139320373535,2.4335451126098633,2.038713216781616,1.9881144762039185,2.154266955,2.32154504391986,2.15426695501653,2.27508,2.03871628755867
7.91,2.0504,3.0103838443756104,2.2463366985321045,2.5540101528167725,2.039226531982422,2.076766014099121,2.111867445,2.18364571609185,2.11186744500892,2.24907,2.03922868678186
7.92,2.10617,2.9844212532043457,2.342738628387451,2.6357412338256836,2.064929246902466,2.1693944931030273,1.944649155,2.07341324849774,1.94464915501388,2.19544,2.06492959194573
7.93,2.15292,2.904942512512207,2.4227490425109863,2.6794700622558594,2.079962968826294,2.2358667850494385,1.89128934000001,2.07270077106193,1.89128934002193,2.15546,2.07996291465723
7.94,2.22609,2.799497604370117,2.4872052669525146,2.695582151412964,2.144012928009033,2.298720359802246,2.00120001,2.18329817610679,2.00120001002527,2.17793,2.14401330175961
7.95,2.28998,2.6897220611572266,2.537494421005249,2.6979563236236572,2.2710790634155273,2.35325288772583,2.222297505,2.34945489775414,2.22229750501892,2.23123,2.27107994586615
7.96,2.35629,2.6064531803131104,2.579526424407959,2.698676347732544,2.4380290508270264,2.420828342437744,2.490842235,2.51678781582769,2.49084223500524,2.30752,2.438029742449
7.97,2.42484,2.5850090980529785,2.626565933227539,2.7088677883148193,2.52203106880188,2.529024600982666,2.634706295,2.7964050362409,2.63470629501649,2.39893,2.52203392820417
7.98,2.49548,2.6469366550445557,2.6879055500030518,2.7419323921203613,2.592600107192993,2.6314311027526855,2.79596676,3.16120079517526,2.79596676003804,2.47975,2.59260618432282
7.99,2.568,2.770468235015869,2.7609763145446777,2.803377628326416,2.7164664268493652,2.719512462615967,2.895275805,3.28048928812891,2.89527580503643,2.55891,2.7164721621439
8.0,2.64223,2.9108870029449463,2.839401960372925,2.8841614723205566,2.835960865020752,2.80562162399292,2.90901129,3.22284009722494,2.90901129002558,2.63791,2.83596348379893
