time,veh_u,veh_v,model_RNN_lon_2020.pt
0.5,0.02909,0.00305,0.025921449065208435
0.51,0.02977,0.00266,0.025183454155921936
0.52,0.03009,0.00226,0.024655908346176147
0.53,0.03006,0.00185,0.024286746978759766
0.54,0.02968,0.00143,0.023978978395462036
0.55,0.02897,0.00101,0.023714780807495117
0.56,0.02792,0.0,0.02345682680606842
0.57,0.02686,0.0,0.023179873824119568
0.58,0.02494,0.0,0.022826969623565674
0.59,0.02304,0.0,0.022405266761779785
0.6,0.02091,0.0,0.021937966346740723
0.61,0.01857,0.0,0.021381691098213196
0.62,0.01605,0.0,0.02077770233154297
0.63,0.01339,0.0,0.0201539546251297
0.64,0.01062,0.0,0.01960812509059906
0.65,0.0,0.0,0.019199565052986145
0.66,0.0,0.0,0.01888197660446167
0.67,0.0,0.0,0.018596172332763672
0.68,0.0,0.0,0.01832333207130432
0.69,0.0,0.0,0.018037572503089905
0.7,0.0,0.0,0.01782916486263275
0.71,0.0,0.0,0.017743617296218872
0.72,0.0,0.0,0.017712369561195374
0.73,0.0,0.0,0.017758086323738098
0.74,0.0,0.0,0.017922356724739075
0.75,0.0,0.0,0.018207848072052002
0.76,0.0,0.0,0.018616288900375366
0.77,0.0,0.0,0.019209355115890503
0.78,0.0,0.0,0.019948020577430725
0.79,0.0,0.0,0.020753830671310425
0.8,0.0,0.0,0.021705180406570435
0.81,0.0,0.0,0.022741958498954773
0.82,0.0,0.0,0.023775354027748108
0.83,0.0,0.0,0.02485157549381256
0.84,0.0,0.0,0.02605988085269928
0.85,0.0,0.0,0.027245059609413147
0.86,0.0,0.0,0.02837437391281128
0.87,0.0,0.0,0.029362782835960388
0.88,0.0,0.0,0.03030584752559662
0.89,0.0,0.0,0.031081512570381165
0.9,0.0,0.0,0.031677812337875366
0.91,0.0,0.0,0.03218667209148407
0.92,0.0,0.0,0.03251871466636658
0.93,0.0,0.0,0.032681792974472046
0.94,0.0,0.0,0.03263470530509949
0.95,0.0,0.0,0.03241649270057678
0.96,0.0,0.0,0.032059088349342346
0.97,0.0,0.0,0.03162108361721039
0.98,0.0,0.0,0.03109748661518097
0.99,0.0,0.0,0.030409768223762512
1.0,0.0,0.0,0.029611989855766296
1.01,0.0,0.0,0.02866898477077484
1.02,0.0,0.0,0.02755892276763916
1.03,0.0,0.0,0.02640843391418457
1.04,0.0,0.0,0.025420472025871277
1.05,0.0,0.00124,0.02449376881122589
1.06,0.0,0.00155,0.02361743152141571
1.07,0.0,0.00182,0.022907286882400513
1.08,0.0,0.00206,0.02230849862098694
1.09,0.0,0.00226,0.021881967782974243
1.1,0.0,0.00241,0.021581098437309265
1.11,0.0,0.00253,0.021476686000823975
1.12,0.0,0.0026,0.021449878811836243
1.13,0.0,0.00263,0.021509885787963867
1.14,0.0,0.00263,0.021597295999526978
1.15,0.0,0.00259,0.021610021591186523
1.16,0.0,0.00249,0.021941140294075012
1.17,0.0,0.00237,0.02281789481639862
1.18,0.0,0.00223,0.02478785812854767
1.19,0.0,0.00205,0.027724817395210266
1.2,0.0,0.00185,0.03160311281681061
1.21,0.0,0.00163,0.036413028836250305
1.22,0.0,0.00139,0.0416889488697052
1.23,0.0,0.00115,0.046978846192359924
1.24,0.0,0.0,0.051965877413749695
1.25,0.0,0.0,0.056260645389556885
1.26,0.0,0.0,0.059599682688713074
1.27,0.0,0.0,0.06177595257759094
1.28,0.0,0.0,0.06291204690933228
1.29,0.0,0.0,0.06329396367073059
1.3,0.0,0.0,0.0632772147655487
1.31,0.0,0.0,0.06235241889953613
1.32,0.0,0.0,0.06093218922615051
1.33,0.0,0.0,0.05875730514526367
1.34,0.0,0.0,0.056890904903411865
1.35,0.0,0.0,0.054553911089897156
1.36,0.0,0.0,0.052163347601890564
1.37,0.0,0.0,0.050124481320381165
1.38,0.0,0.0,0.04805952310562134
1.39,0.0,0.0,0.04681381583213806
1.4,0.0,0.0,0.04579855501651764
1.41,0.0,0.0,0.04536718130111694
1.42,0.0,0.0,0.045067161321640015
1.43,0.0,0.0,0.04507438838481903
1.44,0.0,0.0,0.04583948850631714
1.45,0.0,0.0,0.04647471010684967
1.46,0.0,0.0,0.046786293387413025
