time,veh_u,veh_v,model_LSTM_lon_32.pt,model_LSTM_lon_33.pt,model_LSTM_lon_34.pt,model_LSTM_lon_35.pt,model_LSTM_lon_36.pt,model_LSTM_lon_37.pt,model_LSTM_lon_38.pt,model_LSTM_lon_39.pt,model_LSTM_lon_40.pt,model_LSTM_lon_41.pt,model_LSTM_lon_42.pt,model_LSTM_lon_43.pt,model_LSTM_lon_44.pt,model_LSTM_lon_45.pt,model_LSTM_lon_46.pt,model_LSTM_lon_47.pt,model_LSTM_lon_48.pt,model_LSTM_lon_49.pt,model_LSTM_lon_50.pt,model_LSTM_lon_51.pt,model_LSTM_lon_52.pt,model_LSTM_lon_53.pt,model_LSTM_lon_54.pt,model_LSTM_lon_55.pt,model_LSTM_lon_56.pt,model_LSTM_lon_57.pt,model_LSTM_lon_58.pt,model_LSTM_lon_59.pt,model_LSTM_lon_60.pt,model_LSTM_lon_61.pt,model_LSTM_lon_62.pt,model_LSTM_lon_63.pt
15.46,21.72753,0.0,21.770280838012695,21.881099700927734,21.862337112426758,21.841127395629883,21.772491455078125,21.9003963470459,21.926870346069336,21.868494033813477,21.777523040771484,21.88733673095703,21.71932601928711,21.836204528808594,21.88054084777832,21.861438751220703,21.73270034790039,21.369625091552734,21.769672393798828,21.82963752746582,21.86705780029297,21.9035701751709,21.820510864257812,21.89647674560547,21.919700622558594,21.929847717285156,21.820938110351562,21.872982025146484,21.872852325439453,21.820751190185547,21.904680252075195,21.901945114135742,21.90215492248535,21.815418243408203
15.47,21.68364,0.0,21.770280838012695,21.881099700927734,21.862337112426758,21.841127395629883,21.772491455078125,21.9003963470459,21.926870346069336,21.868494033813477,21.777523040771484,21.88733673095703,21.71932601928711,21.836204528808594,21.88054084777832,21.861438751220703,21.73270034790039,21.369625091552734,21.769672393798828,21.82963752746582,21.86705780029297,21.9035701751709,21.820510864257812,21.89647674560547,21.919700622558594,21.929847717285156,21.820938110351562,21.872982025146484,21.872852325439453,21.820751190185547,21.904680252075195,21.901945114135742,21.90215492248535,21.815418243408203
15.48,21.63991,0.0,21.770280838012695,21.881099700927734,21.862337112426758,21.841127395629883,21.772491455078125,21.9003963470459,21.926870346069336,21.868494033813477,21.777523040771484,21.88733673095703,21.71932601928711,21.836204528808594,21.88054084777832,21.861438751220703,21.73270034790039,21.369625091552734,21.769672393798828,21.82963752746582,21.86705780029297,21.9035701751709,21.820510864257812,21.89647674560547,21.919700622558594,21.929847717285156,21.820938110351562,21.872982025146484,21.872852325439453,21.820751190185547,21.904680252075195,21.901945114135742,21.90215492248535,21.815418243408203
15.49,21.59633,0.0,21.54205322265625,21.631139755249023,21.66546630859375,21.611446380615234,21.557941436767578,21.668855667114258,21.717519760131836,21.67195701599121,21.56660270690918,21.664846420288086,21.424543380737305,21.601341247558594,21.648141860961914,21.661333084106445,21.52785873413086,21.166881561279297,21.58991050720215,21.57746696472168,21.632102966308594,21.711204528808594,21.609718322753906,21.66229248046875,21.693241119384766,21.71152687072754,21.648908615112305,21.642282485961914,21.64288902282715,21.59400749206543,21.68065071105957,21.664321899414062,21.68305778503418,21.622804641723633
15.5,21.55293,0.0,21.54205322265625,21.631139755249023,21.66546630859375,21.611446380615234,21.557941436767578,21.668855667114258,21.717519760131836,21.67195701599121,21.56660270690918,21.664846420288086,21.424543380737305,21.601341247558594,21.648141860961914,21.661333084106445,21.52785873413086,21.166881561279297,21.58991050720215,21.57746696472168,21.632102966308594,21.711204528808594,21.609718322753906,21.66229248046875,21.693241119384766,21.71152687072754,21.648908615112305,21.642282485961914,21.64288902282715,21.59400749206543,21.68065071105957,21.664321899414062,21.68305778503418,21.622804641723633
15.51,21.50967,0.0,21.54205322265625,21.631139755249023,21.66546630859375,21.611446380615234,21.557941436767578,21.668855667114258,21.717519760131836,21.67195701599121,21.56660270690918,21.664846420288086,21.424543380737305,21.601341247558594,21.648141860961914,21.661333084106445,21.52785873413086,21.166881561279297,21.58991050720215,21.57746696472168,21.632102966308594,21.711204528808594,21.609718322753906,21.66229248046875,21.693241119384766,21.71152687072754,21.648908615112305,21.642282485961914,21.64288902282715,21.59400749206543,21.68065071105957,21.664321899414062,21.68305778503418,21.622804641723633
15.52,21.46656,0.0,21.54205322265625,21.631139755249023,21.66546630859375,21.611446380615234,21.557941436767578,21.668855667114258,21.717519760131836,21.67195701599121,21.56660270690918,21.664846420288086,21.424543380737305,21.601341247558594,21.648141860961914,21.661333084106445,21.52785873413086,21.166881561279297,21.58991050720215,21.57746696472168,21.632102966308594,21.711204528808594,21.609718322753906,21.66229248046875,21.693241119384766,21.71152687072754,21.648908615112305,21.642282485961914,21.64288902282715,21.59400749206543,21.68065071105957,21.664321899414062,21.68305778503418,21.622804641723633
15.53,21.43207,0.0,21.54205322265625,21.631139755249023,21.66546630859375,21.611446380615234,21.557941436767578,21.668855667114258,21.717519760131836,21.67195701599121,21.56660270690918,21.664846420288086,21.424543380737305,21.601341247558594,21.648141860961914,21.661333084106445,21.52785873413086,21.166881561279297,21.58991050720215,21.57746696472168,21.632102966308594,21.711204528808594,21.609718322753906,21.66229248046875,21.693241119384766,21.71152687072754,21.648908615112305,21.642282485961914,21.64288902282715,21.59400749206543,21.68065071105957,21.664321899414062,21.68305778503418,21.622804641723633
15.54,21.38919,0.0,21.315519332885742,21.38395881652832,21.450824737548828,21.380611419677734,21.330968856811523,21.434951782226562,21.507259368896484,21.431598663330078,21.343263626098633,21.432109832763672,21.13439178466797,21.389436721801758,21.394886016845703,21.456979751586914,21.315462112426758,20.966215133666992,21.401351928710938,21.326492309570312,21.389657974243164,21.510223388671875,21.405101776123047,21.423917770385742,21.456993103027344,21.48206329345703,21.479530334472656,21.410266876220703,21.401918411254883,21.368383407592773,21.454288482666016,21.42418670654297,21.456401824951172,21.421939849853516
15.55,21.33799,0.0,21.315519332885742,21.38395881652832,21.450824737548828,21.380611419677734,21.330968856811523,21.434951782226562,21.507259368896484,21.431598663330078,21.343263626098633,21.432109832763672,21.13439178466797,21.389436721801758,21.394886016845703,21.456979751586914,21.315462112426758,20.966215133666992,21.401351928710938,21.326492309570312,21.389657974243164,21.510223388671875,21.405101776123047,21.423917770385742,21.456993103027344,21.48206329345703,21.479530334472656,21.410266876220703,21.401918411254883,21.368383407592773,21.454288482666016,21.42418670654297,21.456401824951172,21.421939849853516
15.56,21.29534,0.0,21.315519332885742,21.38395881652832,21.450824737548828,21.380611419677734,21.330968856811523,21.434951782226562,21.507259368896484,21.431598663330078,21.343263626098633,21.432109832763672,21.13439178466797,21.389436721801758,21.394886016845703,21.456979751586914,21.315462112426758,20.966215133666992,21.401351928710938,21.326492309570312,21.389657974243164,21.510223388671875,21.405101776123047,21.423917770385742,21.456993103027344,21.48206329345703,21.479530334472656,21.410266876220703,21.401918411254883,21.368383407592773,21.454288482666016,21.42418670654297,21.456401824951172,21.421939849853516
15.57,21.25276,0.0,21.315519332885742,21.38395881652832,21.450824737548828,21.380611419677734,21.330968856811523,21.434951782226562,21.507259368896484,21.431598663330078,21.343263626098633,21.432109832763672,21.13439178466797,21.389436721801758,21.394886016845703,21.456979751586914,21.315462112426758,20.966215133666992,21.401351928710938,21.326492309570312,21.389657974243164,21.510223388671875,21.405101776123047,21.423917770385742,21.456993103027344,21.48206329345703,21.479530334472656,21.410266876220703,21.401918411254883,21.368383407592773,21.454288482666016,21.42418670654297,21.456401824951172,21.421939849853516
15.58,21.21024,0.0,21.315519332885742,21.38395881652832,21.450824737548828,21.380611419677734,21.330968856811523,21.434951782226562,21.507259368896484,21.431598663330078,21.343263626098633,21.432109832763672,21.13439178466797,21.389436721801758,21.394886016845703,21.456979751586914,21.315462112426758,20.966215133666992,21.401351928710938,21.326492309570312,21.389657974243164,21.510223388671875,21.405101776123047,21.423917770385742,21.456993103027344,21.48206329345703,21.479530334472656,21.410266876220703,21.401918411254883,21.368383407592773,21.454288482666016,21.42418670654297,21.456401824951172,21.421939849853516
15.59,21.16773,0.0,21.108301162719727,21.135480880737305,21.22873306274414,21.16022300720215,21.115734100341797,21.205322265625,21.305465698242188,21.142440795898438,21.13304328918457,21.18540382385254,20.814783096313477,21.1921329498291,21.14181137084961,21.25489616394043,21.10377311706543,20.77402687072754,21.207300186157227,21.101308822631836,21.165607452392578,21.306989669799805,21.207199096679688,21.199695587158203,21.227344512939453,21.254438400268555,21.307973861694336,21.192686080932617,21.16911506652832,21.151891708374023,21.237154006958008,21.20157814025879,21.23621368408203,21.21590805053711
15.6,21.12523,0.0,21.108301162719727,21.135480880737305,21.22873306274414,21.16022300720215,21.115734100341797,21.205322265625,21.305465698242188,21.142440795898438,21.13304328918457,21.18540382385254,20.814783096313477,21.1921329498291,21.14181137084961,21.25489616394043,21.10377311706543,20.77402687072754,21.207300186157227,21.101308822631836,21.165607452392578,21.306989669799805,21.207199096679688,21.199695587158203,21.227344512939453,21.254438400268555,21.307973861694336,21.192686080932617,21.16911506652832,21.151891708374023,21.237154006958008,21.20157814025879,21.23621368408203,21.21590805053711
15.61,21.09111,0.0,21.108301162719727,21.135480880737305,21.22873306274414,21.16022300720215,21.115734100341797,21.205322265625,21.305465698242188,21.142440795898438,21.13304328918457,21.18540382385254,20.814783096313477,21.1921329498291,21.14181137084961,21.25489616394043,21.10377311706543,20.77402687072754,21.207300186157227,21.101308822631836,21.165607452392578,21.306989669799805,21.207199096679688,21.199695587158203,21.227344512939453,21.254438400268555,21.307973861694336,21.192686080932617,21.16911506652832,21.151891708374023,21.237154006958008,21.20157814025879,21.23621368408203,21.21590805053711
15.62,21.04852,0.0,21.108301162719727,21.135480880737305,21.22873306274414,21.16022300720215,21.115734100341797,21.205322265625,21.305465698242188,21.142440795898438,21.13304328918457,21.18540382385254,20.814783096313477,21.1921329498291,21.14181137084961,21.25489616394043,21.10377311706543,20.77402687072754,21.207300186157227,21.101308822631836,21.165607452392578,21.306989669799805,21.207199096679688,21.199695587158203,21.227344512939453,21.254438400268555,21.307973861694336,21.192686080932617,21.16911506652832,21.151891708374023,21.237154006958008,21.20157814025879,21.23621368408203,21.21590805053711
15.63,20.99738,0.0,21.108301162719727,21.135480880737305,21.22873306274414,21.16022300720215,21.115734100341797,21.205322265625,21.305465698242188,21.142440795898438,21.13304328918457,21.18540382385254,20.814783096313477,21.1921329498291,21.14181137084961,21.25489616394043,21.10377311706543,20.77402687072754,21.207300186157227,21.101308822631836,21.165607452392578,21.306989669799805,21.207199096679688,21.199695587158203,21.227344512939453,21.254438400268555,21.307973861694336,21.192686080932617,21.16911506652832,21.151891708374023,21.237154006958008,21.20157814025879,21.23621368408203,21.21590805053711
15.64,20.95454,0.0,20.89704132080078,20.878555297851562,20.9940128326416,20.93996810913086,20.887096405029297,20.97183609008789,21.100290298461914,20.908571243286133,20.912763595581055,20.955089569091797,20.599618911743164,20.98921775817871,20.87900733947754,21.049041748046875,20.88714599609375,20.58038902282715,21.004915237426758,20.88389015197754,20.9486141204834,21.098421096801758,21.010820388793945,20.980501174926758,21.00311279296875,21.026905059814453,21.12679672241211,20.976459503173828,20.943222045898438,20.935516357421875,21.020755767822266,20.986190795898438,21.016151428222656,21.00161361694336
15.65,20.91152,0.0,20.89704132080078,20.878555297851562,20.9940128326416,20.93996810913086,20.887096405029297,20.97183609008789,21.100290298461914,20.908571243286133,20.912763595581055,20.955089569091797,20.599618911743164,20.98921775817871,20.87900733947754,21.049041748046875,20.88714599609375,20.58038902282715,21.004915237426758,20.88389015197754,20.9486141204834,21.098421096801758,21.010820388793945,20.980501174926758,21.00311279296875,21.026905059814453,21.12679672241211,20.976459503173828,20.943222045898438,20.935516357421875,21.020755767822266,20.986190795898438,21.016151428222656,21.00161361694336
